DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:01 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:01 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:01 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:02 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:02 2019
